id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
4HG1YiGBseVKzjyKcmAJen,Summer Games,['Drake'],247893,6/29/18,2018,0.477,0.775,0.482,0.0456,0.11,-11.269,0.0357,136.016,0.134,1,1,62,0,2
4v7SAP4KD96BFLWiCd1vF0,Madonna,['Drake'],177840,2/12/15,2015,0.0149,0.905,0.492,3.77e-05,0.371,-8.598,0.0595,110.017,0.142,1,2,57,1,1
12d5QFwzh60IIHlsSnAvps,10 Bands,['Drake'],177733,2/12/15,2015,0.265,0.825,0.756,2.15e-06,0.0762,-3.687,0.383,172.938,0.888,0,11,64,1,1
0lPZJkwjzQV3xrR5fbQxr8,"Wunderbar (from ""Kiss Me Kate"")","['Alfred Drake', 'Patricia Morison']",214533,1947,1947,0.96,0.33,0.254,0.0,0.372,-12.83,0.0669,90.269,0.216,1,8,2,0,0
32UIpKdyGzgTPTO8e5ge5c,Amen (feat. Drake),"['Meek Mill', 'Drake']",289707,10/26/12,2012,0.178,0.503,0.795,0.0,0.042,-4.505,0.335,149.981,0.265,1,10,54,1,1
7l8gHk3b9AwjC7gRhOqtP4,The Moss,['Cosmo Sheldrake'],242567,3/5/14,2014,0.687,0.619,0.51,0.0,0.137,-5.549,0.0305,127.966,0.441,0,1,53,0,2
16qzGrIMWoxerw2gnW0zuv,Pink Moon,['Nick Drake'],123333,2/25/72,1972,0.819,0.638,0.256,0.0707,0.145,-15.68,0.0492,82.479,0.438,1,3,69,0,2
4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,['Drake'],275227,7/14/13,2013,0.737,0.559,0.716,0.0,0.252,-3.964,0.39,176.618,0.504,0,11,70,1,1
6DkXLzBQT7cwXmTyzAB1DJ,What's My Name?,"['Rihanna', 'Drake']",263173,1/1/10,2010,0.182,0.689,0.784,0.0,0.0843,-2.972,0.074,99.954,0.561,1,2,59,0,1
238Sekyg7DyN2XDm0z4oWY,Fancy,"['Drake', 'T.I.', 'Swizz Beatz']",319387,1/1/10,2010,0.331,0.523,0.884,2e-06,0.356,-5.581,0.461,87.275,0.283,0,2,49,1,1
73tgFzBug5Ifk1Retdtwk7,Fireworks,"['Drake', 'Alicia Keys']",313280,1/1/10,2010,0.433,0.55,0.758,0.0,0.162,-6.472,0.347,89.368,0.53,1,0,51,1,1
5LAKjqbB5uurPpxFEicd9S,Wu-Tang Forever,['Drake'],217680,1/1/13,2013,0.0474,0.832,0.427,0.0,0.101,-8.516,0.257,99.935,0.369,0,8,55,1,1
5e574bhjycX1eH2l4Auage,Grammys,"['Drake', 'Future']",220427,5/6/16,2016,0.00163,0.676,0.432,3.93e-06,0.0799,-9.51,0.502,145.869,0.12,1,1,60,1,1
